category,review,text_input,clean_text,rating,sentiment,label
elektronik,"Kualitas ok
Pelayanan ok","kategori elektronik ulasan Kualitas ok
Pelayanan ok",kategori elektronik ulasan kualitas oke pelayanan oke,5,positif,2
pertukangan,"kemasan bagus,pengiriman dan respon oke semoga hasilnya mantap","kategori pertukangan ulasan kemasan bagus,pengiriman dan respon oke semoga hasilnya mantap",kategori pertukangan ulasan kemasan bagus pengiriman dan respon oke semoga hasilnya bagus,5,positif,2
olahraga,Ok paket sampaii tks gan,kategori olahraga ulasan Ok paket sampaii tks gan,kategori olahraga ulasan oke paket sampaii terima kasih juragan,5,positif,2
elektronik,"Produk sangat bagus, seller top banget","kategori elektronik ulasan Produk sangat bagus, seller top banget",kategori elektronik ulasan produk sangat bagus seller top banget,5,positif,2
pertukangan,"kualitas barang jelek, lubang baud jebol tidak kuat menahan udara posisi ban di isi angin standart padahal.","kategori pertukangan ulasan kualitas barang jelek, lubang baud jebol tidak kuat menahan udara posisi ban di isi angin standart padahal.",kategori pertukangan ulasan kualitas barang jelek lubang baud jebol tidak kuat menahan udara posisi ban di isi angin standart padahal,2,negatif,0
kecantikan,"Ini emang gada dus nya atau gmna ya,
Packaging sih pake kardus dan bubble wrap,tp dlm nya langsung kemasan ga da dusnya","kategori kecantikan ulasan Ini emang gada dus nya atau gmna ya,
Packaging sih pake kardus dan bubble wrap,tp dlm nya langsung kemasan ga da dusnya",kategori kecantikan ulasan ini emang tidak ada dus nya atau gimana iya packaging sih pakai kardus dan bubble wrap tapi dlm nya langsung kemasan tidak da dusnya,3,netral,1
makanan_minuman,"cekernya bersih², bungkus nya rapi 👍👍👍","kategori makanan_minuman ulasan cekernya bersih², bungkus nya rapi 👍👍👍",kategori makanan minuman ulasan cekernya bersih bungkus nya rapi bagus bagus bagus,5,positif,2
olahraga,mantap mantap mantap mantap mantap mantap,kategori olahraga ulasan mantap mantap mantap mantap mantap mantap,kategori olahraga ulasan bagus bagus bagus bagus bagus bagus,5,positif,2
pertukangan,"Bagus Banget, Saya akan beli lagi satu lagi","kategori pertukangan ulasan Bagus Banget, Saya akan beli lagi satu lagi",kategori pertukangan ulasan bagus banget saya akan beli lagi satu lagi,5,positif,2
pertukangan,mantap.... paling murah sejagat,kategori pertukangan ulasan mantap.... paling murah sejagat,kategori pertukangan ulasan bagus paling murah sejagat,5,positif,2
fashion,Kerennnssssss packaging rapi.. Jam nya kece,kategori fashion ulasan Kerennnssssss packaging rapi.. Jam nya kece,kategori fashion ulasan kerennnssssss packaging rapi jam nya kece,5,positif,2
makanan_minuman,"Memang paling cepet deh ini seller ngga sampai sejam sudah sampai, recommended","kategori makanan_minuman ulasan Memang paling cepet deh ini seller ngga sampai sejam sudah sampai, recommended",kategori makanan minuman ulasan memang paling cepat deh ini seller tidak sampai sejam sudah sampai rekomendasi,5,positif,2
olahraga,"Topi renangnya bagus, respon seller cepat. TOP deh.","kategori olahraga ulasan Topi renangnya bagus, respon seller cepat. TOP deh.",kategori olahraga ulasan topi renangnya bagus respon seller cepat top deh,4,positif,2
makanan_minuman,"Belum dicobain yang ini, tapi dari dua yang sudah dicobain pasti enak juga","kategori makanan_minuman ulasan Belum dicobain yang ini, tapi dari dua yang sudah dicobain pasti enak juga",kategori makanan minuman ulasan belum dicobain yang ini tapi dari dua yang sudah dicobain pasti enak juga,5,positif,2
hiburan,"Pesan nya stand gitar, yg dikirim malah stand partitur. Jualan nya gak fokus. Males retur krn buang2 waktu, tenaga &amp; biaya. Tlg diperbaiki kinerja toko nya","kategori hiburan ulasan Pesan nya stand gitar, yg dikirim malah stand partitur. Jualan nya gak fokus. Males retur krn buang2 waktu, tenaga &amp; biaya. Tlg diperbaiki kinerja toko nya",kategori hiburan ulasan pesan nya stand gitar yang dikirim bahkan stand partitur jualan nya tidak fokus males retur karena buang waktu tenaga biaya tolong diperbaiki kinerja toko nya,2,negatif,0
elektronik,"ok udh sampe,  ga bisa di pake du window 10,","kategori elektronik ulasan ok udh sampe,  ga bisa di pake du window 10,",kategori elektronik ulasan oke udh sampai tidak bisa di pakai du window,3,netral,1
fashion,"Barang telah sampai, sesuai dengan gambar dan Diskripsi. Semoga awet..","kategori fashion ulasan Barang telah sampai, sesuai dengan gambar dan Diskripsi. Semoga awet..",kategori fashion ulasan barang telah sampai sesuai dengan gambar dan diskripsi semoga awet,4,positif,2
fashion,"barang bagus , sayang kurir nya lama kirim jadi ambil sendiri","kategori fashion ulasan barang bagus , sayang kurir nya lama kirim jadi ambil sendiri",kategori fashion ulasan barang bagus sayang kurir nya lama kirim jadi ambil sendiri,5,positif,2
elektronik,"Pengiriman cepat,  barang murah,  bagus dan berfungsi dengan baik.  Sorry lambat konfirmasi,  kmrn dr luar kota.  Thx","kategori elektronik ulasan Pengiriman cepat,  barang murah,  bagus dan berfungsi dengan baik.  Sorry lambat konfirmasi,  kmrn dr luar kota.  Thx",kategori elektronik ulasan pengiriman cepat barang murah bagus dan berfungsi dengan baik maaf lambat konfirmasi kemarin dari luar kota terima kasih,5,positif,2
elektronik,"Barang sesuai dengan pesanan, respons seller cepat banget, ramah lagi. Recommended banget lah. Thanks ya barang nya joss","kategori elektronik ulasan Barang sesuai dengan pesanan, respons seller cepat banget, ramah lagi. Recommended banget lah. Thanks ya barang nya joss",kategori elektronik ulasan barang sesuai dengan pesanan respons seller cepat banget ramah lagi rekomendasi banget lah terima kasih iya barang nya joss,5,positif,2
pertukangan,sampainya cepet banget .,kategori pertukangan ulasan sampainya cepet banget .,kategori pertukangan ulasan sampainya cepat banget,5,positif,2
olahraga,Good quality!,kategori olahraga ulasan Good quality!,kategori olahraga ulasan bagus quality,5,positif,2
olahraga,"Barang sdh diterima sesuai gambar,tq","kategori olahraga ulasan Barang sdh diterima sesuai gambar,tq",kategori olahraga ulasan barang sudah diterima sesuai gambar terima kasih,5,positif,2
elektronik,recomended seller fast response,kategori elektronik ulasan recomended seller fast response,kategori elektronik ulasan recomended seller cepat respon,4,positif,2
hiburan,"Indikatornya lampu pas di charge ga berubah jadi ijo pas full. malah ilang. kualitas suara biasa aja rupanya, gajauh beda dgn pake headset pas rekam, meski agak bagusan dikit.","kategori hiburan ulasan Indikatornya lampu pas di charge ga berubah jadi ijo pas full. malah ilang. kualitas suara biasa aja rupanya, gajauh beda dgn pake headset pas rekam, meski agak bagusan dikit.",kategori hiburan ulasan indikatornya lampu pas di charge tidak berubah jadi hijau pas penuh bahkan hilang kualitas suara biasa saja rupanya gajauh beda dengan pakai headset pas rekam meski agak bagusan dikit,3,netral,1
fashion,"Kualitas sesuai harapan, makasih","kategori fashion ulasan Kualitas sesuai harapan, makasih",kategori fashion ulasan kualitas sesuai harapan terima kasih,5,positif,2
kecantikan,Katanya ada free produk.. tp ga ada di kasih...,kategori kecantikan ulasan Katanya ada free produk.. tp ga ada di kasih...,kategori kecantikan ulasan katanya ada gratis produk tapi tidak ada di kasih,3,netral,1
hiburan,worth it.,kategori hiburan ulasan worth it.,kategori hiburan ulasan bermanfaat it,5,positif,2
olahraga,saya senang produknya dipaketkan dengan rapi dan cepat sampai. Recommended!,kategori olahraga ulasan saya senang produknya dipaketkan dengan rapi dan cepat sampai. Recommended!,kategori olahraga ulasan saya senang produknya dipaketkan dengan rapi dan cepat sampai rekomendasi,5,positif,2
hiburan,"thank you, packaging rapih. dan seller respons nya jg ramah","kategori hiburan ulasan thank you, packaging rapih. dan seller respons nya jg ramah",kategori hiburan ulasan terima kasih you packaging rapih dan seller respons nya juga ramah,5,positif,2
